time (min),bacterium area (pixels),bacterium area (µm^2)
832,1001,2.7067039999999998
833,1019,2.7553759999999996
834,1016,2.747264
835,1032,2.7905279999999997
836,1040,2.81216
837,1037,2.804048
838,1042,2.8175679999999996
839,1056,2.8554239999999997
840,1061,2.868944
841,1069,2.890576
842,1077,2.9122079999999997
843,1085,2.93384
844,1095,2.96088
845,1103,2.982512
846,1105,2.98792
847,1100,2.9743999999999997
848,1116,3.017664
849,1129,3.052816
850,1117,3.020368
851,1138,3.077152
852,1139,3.079856
853,1156,3.1258239999999997
854,1158,3.131232
855,1168,3.1582719999999997
856,1167,3.1555679999999997
857,1171,3.166384
858,1179,3.1880159999999997
859,1181,3.193424
860,1196,3.233984
861,1205,3.25832
862,1221,3.3015839999999996
863,1228,3.320512
864,1234,3.3367359999999997
865,1239,3.350256
866,1242,3.3583679999999996
867,1242,3.3583679999999996
868,1249,3.377296
869,1263,3.415152
870,1252,3.385408
871,1291,3.4908639999999997
872,1277,3.4530079999999996
873,1279,3.4584159999999997
874,1306,3.531424
875,1331,3.5990239999999996
876,1314,3.5530559999999998
877,729,1.9712159999999999
878,735,1.9874399999999999
879,753,2.0361119999999997
880,1173,3.171792
881,1252,3.385408
882,1240,3.35296
883,761,2.057744
884,761,2.057744
885,775,2.0955999999999997
886,777,2.1010079999999998
887,782,2.114528
888,780,2.10912
889,788,2.1307519999999998
890,787,2.1280479999999997
891,793,2.144272
892,803,2.171312
893,806,2.179424
894,812,2.195648
895,813,2.198352
896,816,2.206464
897,826,2.233504
898,825,2.2308
899,824,2.228096
900,833,2.2524319999999998
901,848,2.292992
902,857,2.317328
903,858,2.320032
904,861,2.328144
905,872,2.357888
906,870,2.35248
907,873,2.360592
908,881,2.382224
909,882,2.384928
910,890,2.40656
911,897,2.4254879999999996
912,902,2.439008
913,903,2.441712
914,911,2.4633439999999998
915,916,2.476864
916,920,2.4876799999999997
917,922,2.4930879999999997
918,934,2.525536
919,941,2.5444639999999996
920,936,2.530944
921,948,2.563392
922,962,2.601248
923,954,2.5796159999999997
924,968,2.617472
925,971,2.625584
926,978,2.6445119999999998
927,983,2.658032
928,991,2.679664
929,1000,2.7039999999999997
930,1008,2.7256319999999996
931,1003,2.712112
932,1017,2.749968
933,1025,2.7716
934,1028,2.779712
935,1035,2.79864
936,1041,2.8148639999999996
937,1054,2.8500159999999997
938,1060,2.86624
939,1059,2.863536
940,1077,2.9122079999999997
941,1074,2.904096
942,1088,2.9419519999999997
943,1090,2.9473599999999998
944,1097,2.9662879999999996
945,1091,2.950064
946,1108,2.9960319999999996
947,1124,3.0392959999999998
948,1123,3.0365919999999997
949,1125,3.042
950,1146,3.0987839999999998
951,924,2.498496
952,1154,3.1204159999999996
953,1147,3.101488
954,1158,3.131232
955,1170,3.16368
956,1174,3.174496
957,1187,3.2096479999999996
958,1179,3.1880159999999997
959,1200,3.2447999999999997
960,1210,3.2718399999999996
961,1218,3.293472
962,1226,3.315104
963,1229,3.323216
964,1243,3.3610719999999996
965,1247,3.3718879999999998
966,1263,3.415152
967,1247,3.3718879999999998
968,1248,3.374592
